GEOID,B08141_E001,B08141_E002,B08141_E003,B08141_E004,B08141_E005,B08141_E016,B08141_E017,B08141_E018,B08141_E019,B08141_E020,B08141_M001,B08141_M002,B08141_M003,B08141_M004,B08141_M005,B08141_M016,B08141_M017,B08141_M018,B08141_M019,B08141_M020
06059075901,2341,49,472,1115,705,24,16,0,8,0,289,47,137,237,374,29,25,12,14,12
06059075902,3958,91,1112,1564,1191,47,47,0,0,0,419,136,423,397,428,81,81,17,17,17
06059076000,4639,90,884,2196,1469,149,0,17,132,0,490,94,321,537,407,133,17,27,131,17
06059076101,5720,46,1331,2828,1515,89,0,0,17,72,622,53,331,554,479,103,17,17,26,100
06059076102,2444,77,663,913,791,57,11,0,14,32,229,76,156,265,204,47,17,17,22,38
06059076103,4957,140,731,1790,2296,119,56,0,24,39,579,130,338,492,557,87,64,17,30,46
06059076201,4181,29,460,2049,1643,71,17,0,54,0,267,31,184,283,437,55,24,17,55,17
06059076202,3090,53,538,1217,1282,56,0,8,32,16,243,63,237,253,231,46,17,13,39,20
06059076204,1933,30,533,656,714,30,0,30,0,0,228,28,185,208,267,46,12,46,12,12
06059076205,2568,0,286,842,1440,0,0,0,0,0,313,17,192,199,370,17,17,17,17,17
06059076206,2102,0,273,992,837,30,0,10,11,9,314,12,108,288,264,31,12,16,17,15
06059076208,2922,0,312,829,1781,16,0,0,16,0,247,17,121,201,352,26,17,17,26,17
06059086301,3657,0,279,1041,2337,80,0,0,72,8,349,17,112,298,476,73,17,17,66,12
06059086303,4189,30,1463,1737,959,286,14,212,60,0,534,34,475,495,463,208,22,198,61,17
06059086304,2678,130,424,1054,1070,111,91,0,8,12,306,130,108,237,268,129,128,12,13,23
06059086305,2105,0,52,326,1727,28,0,0,5,23,258,12,46,154,285,31,12,12,10,29
06059086306,1986,84,230,746,926,39,12,11,0,16,313,68,104,313,312,31,21,17,12,19
06059086402,2897,95,323,889,1590,111,23,23,13,52,394,87,222,233,359,71,36,37,21,45
06059086404,3209,41,410,822,1936,135,33,34,10,58,316,42,162,345,382,78,40,33,15,52
06059086405,3464,95,515,676,2178,154,50,56,27,21,335,82,150,265,396,69,46,49,31,23
06059086406,2378,164,223,1176,815,74,60,14,0,0,327,110,112,253,335,96,95,21,12,12
06059086407,3349,19,757,1357,1216,195,19,18,36,122,557,32,278,324,630,167,32,22,58,154
06059086501,1959,0,409,686,864,47,0,47,0,0,260,12,229,211,210,42,12,42,12,12
06059086502,2794,53,456,1142,1143,112,17,40,39,16,295,43,172,250,375,78,27,44,57,20
06059086601,4447,231,589,1532,2095,305,84,22,121,78,419,168,233,413,541,186,135,36,121,78
06059086602,3417,81,557,820,1959,113,0,28,7,78,322,69,156,241,405,87,17,43,11,73
06059086701,4553,14,387,1423,2729,270,0,13,114,143,454,23,206,400,507,162,17,24,113,103
06059086702,4029,88,561,1122,2258,95,0,33,47,15,444,97,244,341,515,72,17,46,47,23
06059086801,1754,61,125,647,921,57,0,0,27,30,302,93,86,245,326,58,12,12,28,49
06059086802,2929,56,420,878,1575,38,12,0,26,0,336,43,200,233,400,48,20,17,43,17
06059086803,3928,109,347,1628,1844,19,0,0,19,0,554,102,193,470,514,30,17,17,30,17
06059086901,3539,147,666,1768,958,60,14,0,46,0,359,148,262,371,377,61,25,17,56,17
06059086902,2491,61,249,993,1188,181,10,84,51,36,274,62,146,258,276,112,15,99,48,35
06059086903,3574,145,707,1238,1484,113,18,13,17,65,328,92,184,211,332,82,29,20,18,78
06059087001,2676,197,461,1011,1007,56,26,10,0,20,314,104,166,270,242,51,41,15,17,27
06059087002,3945,97,733,1313,1802,229,0,46,90,93,436,101,284,347,475,166,17,54,105,125
06059087101,2559,11,783,1170,595,53,0,25,7,21,243,16,190,244,221,38,12,21,12,30
06059087102,3212,77,640,1534,961,215,70,37,47,61,338,69,191,369,256,100,69,39,59,56
06059087103,4270,30,633,1579,2028,35,4,0,12,19,495,49,242,475,418,38,12,17,18,33
06059087105,2214,108,207,856,1043,12,12,0,0,0,393,81,97,232,419,18,18,12,12,12
06059087106,1985,96,322,715,852,202,59,67,40,36,293,58,200,212,227,101,58,72,36,35
