GEOID,lat,lon,aland_sqmi
06059063803,33.6606156,-117.9416686,1.032
06059063805,33.6899398,-117.9302089,0.389
06059063806,33.6813269,-117.933236,0.847
06059063807,33.6655719,-117.9278881,1.008
06059063808,33.6552393,-117.9255747,0.284
06059063902,33.6779027,-117.9136299,0.931
06059063903,33.6821556,-117.9007831,0.533
06059063904,33.6714531,-117.8988944,0.959
06059063905,33.6619896,-117.9136205,0.524
06059063906,33.6609028,-117.9028423,0.41
06059063908,33.6826195,-117.8854728,0.735
06059063909,33.6908191,-117.8774197,0.441
06059063910,33.6933666,-117.9102462,1.621
06059074003,33.7068329,-117.862573,1.39
06059074004,33.7015141,-117.8725721,0.52
06059074005,33.7088227,-117.880925,0.495
06059074006,33.6980398,-117.8817469,0.26
06059074102,33.721282,-117.8902703,0.44
06059074103,33.7217323,-117.8808865,0.384
06059074106,33.7055576,-117.9143089,1.476
06059074107,33.6995404,-117.8938358,0.599
06059074108,33.7211578,-117.9108898,0.813
06059074109,33.7211061,-117.8986836,0.334
06059074110,33.7097314,-117.900654,0.315
06059074111,33.7090748,-117.8928567,0.558
06059074200,33.7216699,-117.870064,0.578
06059074300,33.7196057,-117.8602323,0.201
06059074403,33.7280559,-117.8469468,1.721
06059074405,33.7522099,-117.8596881,0.408
06059074406,33.7481442,-117.8492851,0.591
06059074407,33.7378829,-117.8422024,0.178
06059074408,33.7377146,-117.8366401,0.181
06059074501,33.7385522,-117.8569744,0.209
06059074502,33.7284275,-117.8600162,0.307
06059074601,33.734324,-117.8712799,0.453
06059074602,33.7363844,-117.8640244,0.39
06059074701,33.730917,-117.8955124,0.405
06059074702,33.7308151,-117.8825425,0.343
06059074801,33.743555,-117.8891783,0.337
06059074802,33.7442645,-117.899419,0.436
06059074803,33.7360737,-117.9088098,0.67
06059074805,33.7371813,-117.9026546,0.182
06059074806,33.7368341,-117.8922263,0.239
06059074901,33.7432644,-117.8788563,0.387
06059074902,33.7370585,-117.8798552,0.215
06059075002,33.748073,-117.8685376,0.586
06059075003,33.7572599,-117.8707228,0.203
06059075004,33.7582622,-117.8656949,0.133
06059075100,33.7556681,-117.879726,0.577
06059075201,33.7530867,-117.9003601,0.447
06059075202,33.7548946,-117.8902562,0.451
06059075301,33.7748641,-117.8809944,0.645
06059075302,33.7644599,-117.8899385,0.531
06059075303,33.7661681,-117.8739775,0.528
06059075401,33.7674534,-117.8608693,0.548
06059075403,33.7532867,-117.8424353,0.965
06059075404,33.7679798,-117.8477516,0.737
06059075405,33.7634533,-117.8412681,0.341
06059075504,33.7530974,-117.8244625,0.778
06059075505,33.7440239,-117.8246747,0.647
06059075506,33.741904,-117.807244,0.51
06059075507,33.7362411,-117.8127013,0.491
06059075512,33.7329217,-117.8214885,0.242
06059075513,33.7284876,-117.8147887,0.256
06059075514,33.7365911,-117.8294395,0.198
06059075516,33.6945574,-117.8441272,3.902
06059075517,33.7230118,-117.8325163,0.85
06059075518,33.7065531,-117.8220205,2.575
06059075603,33.7487978,-117.8013386,0.625
06059075604,33.7789826,-117.7854325,2.422
06059075605,33.7768438,-117.7699603,1.619
06059075606,33.7537203,-117.7856485,2.084
06059075607,33.7399533,-117.7819968,0.8
06059075701,33.766702,-117.8278543,0.815
06059075702,33.7587899,-117.8143983,0.715
06059075703,33.7672498,-117.8074361,0.957
06059075805,33.7931874,-117.8367135,0.504
06059075806,33.7805344,-117.8378115,0.764
06059075807,33.7841461,-117.8204064,0.624
06059075808,33.776931,-117.820557,0.61
06059075809,33.8223129,-117.809036,1.256
06059075810,33.8112385,-117.8116387,0.898
06059075811,33.8180906,-117.82984,0.456
06059075812,33.807971,-117.8287446,0.617
06059075813,33.8321962,-117.8268662,1.144
06059075814,33.831945,-117.80585,0.721
06059075815,33.7971208,-117.8255792,0.53
06059075816,33.7920364,-117.8187444,0.45
06059075901,33.7914977,-117.8531049,0.5
06059075902,33.7807141,-117.8508355,0.74
06059076001,33.783476,-117.8693817,0.89
06059076002,33.7756099,-117.8661691,0.354
06059076102,33.7840999,-117.8916633,0.924
06059076103,33.783462,-117.901819,0.624
06059076104,33.7964377,-117.8843992,0.706
06059076105,33.7938846,-117.8707223,0.818
06059076201,33.8373815,-117.8540483,0.897
06059076202,33.8393064,-117.8392835,0.835
06059076204,33.8144337,-117.8613023,2.526
06059076205,33.8051381,-117.8488227,0.688
06059076206,33.8056408,-117.8401794,0.736
06059076208,33.8225982,-117.8434316,0.841
06059086301,33.8327573,-117.896248,0.719
06059086303,33.8118256,-117.8907963,2.55
06059086304,33.8354855,-117.879074,0.494
06059086305,33.8291436,-117.8794687,0.561
06059086306,33.8232253,-117.8776182,0.588
06059086402,33.8462667,-117.8849288,0.483
06059086404,33.8506272,-117.8977733,0.455
06059086405,33.8434369,-117.8971362,0.471
06059086406,33.8438163,-117.8762297,0.419
06059086407,33.8441318,-117.858244,0.852
06059086501,33.846642,-117.9187355,0.546
06059086502,33.85032,-117.9120904,0.394
06059086601,33.8507453,-117.933024,0.502
06059086602,33.8440428,-117.9331121,0.442
06059086701,33.8509554,-117.9566062,0.825
06059086702,33.843269,-117.9482316,0.444
06059086801,33.8485739,-117.9804657,0.627
06059086802,33.8453363,-117.9689154,0.713
06059086803,33.8358485,-117.9806012,0.751
06059086901,33.8246197,-118.0065084,0.507
06059086902,33.8247002,-117.9977769,0.507
06059086903,33.8247759,-117.9890362,0.508
06059087001,33.8248552,-117.980284,0.508
06059087002,33.8249717,-117.9717657,0.481
06059087101,33.8323796,-117.9633147,0.509
06059087102,33.8355936,-117.9526151,0.558
06059087103,33.8264399,-117.948788,0.763
06059087105,33.8274725,-117.9346588,0.667
06059087106,33.8201019,-117.9300546,0.357
06059087200,33.8357929,-117.9285565,0.832
06059087301,33.8386596,-117.911715,0.269
06059087302,33.8342568,-117.9106145,0.36
06059087401,33.8282532,-117.914757,0.393
06059087403,33.8141322,-117.910319,0.243
06059087404,33.8251532,-117.9095108,0.2
06059087405,33.8211215,-117.9110788,0.449
06059087503,33.7996822,-117.9195904,0.751
06059087504,33.7975374,-117.9020092,0.366
