GEOID20,INTPTLAT20,INTPTLON20,ALAND20,pop2020
060590015012003,+33.9361527,-117.9050972,3628,31
060590015012004,+33.9343002,-117.9056851,3557,41
060590015012005,+33.9325378,-117.9058373,2794,28
060590015012006,+33.9356897,-117.9051048,3627,20
060590015012007,+33.9331436,-117.9057864,4330,33
060590015012008,+33.9389099,-117.9047439,5236,31
060590015012009,+33.9347579,-117.9055798,4482,44
060590015012010,+33.9352245,-117.9054684,5640,29
060590015012011,+33.9377657,-117.9049042,5776,40
060590015012012,+33.9369562,-117.9050090,10608,27
060590015012013,+33.9354446,-117.9062395,27265,115
060590015012014,+33.9367994,-117.9064654,4743,0
060590015012015,+33.9359771,-117.9096610,177192,479
060590015012016,+33.9343003,-117.9081621,2228,12
060590015012017,+33.9346476,-117.9101554,6611,50
060590015012018,+33.9348208,-117.9079848,2788,30
060590015012019,+33.9345378,-117.9068472,6888,25
060590015012020,+33.9346741,-117.9074750,6907,60
060590015012021,+33.9346528,-117.9095222,6668,48
060590015012022,+33.9348167,-117.9083501,2743,25
060590015012023,+33.9328450,-117.9088000,33447,102
060590015012024,+33.9383783,-117.9147585,75175,165
060590015012025,+33.9369420,-117.9139175,32683,60
060590015012026,+33.9340988,-117.9135027,93036,219
060590015012027,+33.9356822,-117.9150764,1071,0
060590015012028,+33.9335961,-117.9142638,21807,86
060590015012029,+33.9337761,-117.9153839,10212,38
060590015012030,+33.9334876,-117.9122060,10768,18
060590015012031,+33.9342538,-117.9121651,10273,33
060590015012032,+33.9337669,-117.9149245,8823,23
060590015012033,+33.9327315,-117.9122175,10294,45
060590015012034,+33.9359269,-117.9057647,5467,39
060590015012035,+33.9330488,-117.9099197,9261,90
060590015012036,+33.9333197,-117.9088457,2251,17
060590015012037,+33.9329605,-117.9075163,6615,48
060590015012038,+33.9329559,-117.9081514,6804,52
060590015012039,+33.9327910,-117.9104161,2885,31
060590015012040,+33.9327981,-117.9094135,2900,27
060590015012041,+33.9328786,-117.9090253,2241,21
060590015012042,+33.9338065,-117.9086942,25252,34
060590015012043,+33.9344914,-117.9065049,1498,0
060590015012044,+33.9319504,-117.9041322,4836,0
060590015012045,+33.9318820,-117.9090274,5398,0
060590015012046,+33.9327724,-117.9065234,2615,0
060590015012047,+33.9309946,-117.9115009,153402,0
060590015012048,+33.9318822,-117.9126279,2332,0
060590015012049,+33.9293840,-117.9090916,99224,0
060590015012050,+33.9270569,-117.9099202,228518,0
060590015012051,+33.9283024,-117.9145223,74327,0
060590015012052,+33.9256088,-117.9135106,87370,16
060590015012053,+33.9373680,-117.9081631,26096,66
060590015013000,+33.9437110,-117.9042833,207600,0
060590015013001,+33.9429919,-117.9066862,1498,0
060590015013002,+33.9437713,-117.9059174,21863,35
060590015013003,+33.9415618,-117.9058051,27534,75
060590015013004,+33.9453703,-117.9081358,104552,249
060590015013005,+33.9442802,-117.9075535,27383,101
060590015013006,+33.9441945,-117.9139296,25405,57
060590015013007,+33.9436704,-117.9083650,13465,35
060590015013008,+33.9439384,-117.9116739,29936,72
060590015013009,+33.9464399,-117.9140608,23779,0
060590015013010,+33.9432533,-117.9091642,3993,0
060590015013011,+33.9450788,-117.9128878,50297,138
060590015013012,+33.9431487,-117.9148513,1334,0
060590015013013,+33.9431590,-117.9125777,2577,0
060590015013014,+33.9402845,-117.9051310,54103,139
060590015013015,+33.9395023,-117.9066628,6959,0
060590015013016,+33.9410861,-117.9076927,96959,180
060590015013017,+33.9415197,-117.9119146,81889,188
060590015013018,+33.9411674,-117.9143660,103968,218
